,"1,  AtomNum_no_H","2,  AtomNum_H","3,  BalabanJ","4,  BertzCT","5,  Ipc","6,  HallKierAlpha","7,  Kappa1","8,  Kappa2","9,  Kappa3","10,  Chi0","11,  Chi0n","12,  Chi0v","13,  Chi1","14,  Chi1n","15,  Chi1v","16,  Chi2n","17,  Chi2v","18,  Chi3n","19,  Chi3v","20,  Chi4n","21,  Chi4v","22,  MolLogP","23,  MolMR","24,  MolWt","25,  ExactMolWt","26,  HeavyAtomCount","27,  HeavyAtomMolWt","28,  NHOHCount","29,  NOCount","30,  NumHAcceptors","31,  NumHDonors","32,  NumHeteroatoms","33,  NumRotatableBonds","34,  NumValenceElectrons","35,  CalcNumAmideBonds","36,  CalcNumAromaticRings","37,  CalcNumRings","38,  CalcNumSaturatedRings","39,  CalcNumAliphaticRings","40,  CalcNumAromaticCarbocycles","41,  CalcNumAromaticHeterocycles","42,  CalcNumHeterocycles","43,  CalcNumSaturatedCarbocycles","44,  CalcNumSaturatedHeterocycles","45,  CalcNumAliphaticCarbocycles","46,  CalcNumAliphaticHeterocycles","47,  RingCount","48,  FractionCSP3","49,  CalcNumSpiroAtoms","50,  CalcNumBridgeheadAtoms","51,  TPSA","52,  LabuteASA","53,  PEOE_VSA1","54,  PEOE_VSA2","55,  PEOE_VSA3","56,  PEOE_VSA4","57,  PEOE_VSA5","58,  PEOE_VSA6","59,  PEOE_VSA7","60,  PEOE_VSA8","61,  PEOE_VSA9","62,  PEOE_VSA10","63,  PEOE_VSA11","64,  PEOE_VSA12","65,  PEOE_VSA13","66,  PEOE_VSA14","67,  SMR_VSA1","68,  SMR_VSA2","69,  SMR_VSA3","70,  SMR_VSA4","71,  SMR_VSA5","72,  SMR_VSA6","73,  SMR_VSA7","74,  SMR_VSA8","75,  SMR_VSA9","76,  SMR_VSA10","77,  SlogP_VSA1","78,  SlogP_VSA2","79,  SlogP_VSA3","80,  SlogP_VSA4","81,  SlogP_VSA5","82,  SlogP_VSA6","83,  SlogP_VSA7","84,  SlogP_VSA8","85,  SlogP_VSA9","86,  SlogP_VSA10","87,  SlogP_VSA11","88,  SlogP_VSA12","89,  EState_VSA1","90,  EState_VSA2","91,  EState_VSA3","92,  EState_VSA4","93,  EState_VSA5","94,  EState_VSA6","95,  EState_VSA7","96,  EState_VSA8","97,  EState_VSA9","98,  EState_VSA10","99,  EState_VSA11","100,  VSA_EState1","101,  VSA_EState2","102,  VSA_EState3","103,  VSA_EState4","104,  VSA_EState5","105,  VSA_EState6","106,  VSA_EState7","107,  VSA_EState8","108,  VSA_EState9","109,  VSA_EState10","110,  CalcPBF","111,  CalcPMI1","112,  CalcPMI2","113,  CalcPMI3","114,  CalcNPR1","115,  CalcNPR2","116,  CalcRadiusOfGyration","117,  CalcInertialShapeFactor","118,  CalcEccentricity","119,  CalcAsphericity","120,  CalcSpherocityIndex","121,  CalcNumHBA","122,  CalcNumHBD","123,  CalcNumLipinskiHBA","124,  CalcNumLipinskiHBD","125,  NumRadicalElectrons"
9843,13,0,4.33555134492702,201.0143133094261,278.9831394584013,-1.2799999999999998,11.72,3.2255210472410063,3.761942344045369,10.861807319565802,5.492531709446952,5.492531709446952,5.548547388496605,2.450389999955408,2.450389999955408,1.6724951678317648,1.6724951678317648,0.6483054558355748,0.6483054558355748,0.19992004272822134,0.19992004272822134,1.1807999999999996,23.209000000000003,210.029,209.97516318,13,210.029,0,3,3,0,9,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,43.37000000000001,66.26387921817118,4.736862953800049,0.0,9.589074368143644,26.34249028604892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.29120761079065,40.66842760799261,0.0,0.0,0.0,12.35259703488695,0.0,0.0,0.0,0.0,11.938610575903699,0.0,24.29120761079065,14.325937321943693,0.0,0.0,0.0,0.0,0.0,0.0,26.34249028604892,0.0,0.0,24.29120761079065,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,0.0,35.93156465419256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.22138888888888,4.111944444444447,0.0,0.0,136.48308962393918,617.5348032507769,754.017892874716,0.18100775978086311,0.8189922402191371,1.894746849495844,0.006000686550075619,0.9834816678002256,0.5552681479600705,0.0,3,0,3,0,0
67868,12,2,3.895440562837821,167.36734879116761,179.99770967237603,-0.95,11.05,3.195311089760387,4.803035359636371,9.991563831562724,5.291390200169636,5.291390200169636,5.127827084841576,2.434370234679632,2.434370234679632,1.689069259357063,1.689069259357063,0.5983815750164175,0.5983815750164175,0.2292105920507853,0.2292105920507853,1.6541999999999997,23.069000000000003,196.046,195.995898624,12,194.03,0,2,2,0,8,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,26.3,62.10235711812742,4.736862953800049,0.0,4.794537184071822,26.34249028604892,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,0.0,18.3219023228388,35.87389042392079,0.0,0.0,0.0,12.35259703488695,6.606881964512918,0.0,0.0,0.0,5.969305287951848,0.0,24.928784287351714,9.531400137871868,0.0,0.0,0.0,0.0,0.0,0.0,26.34249028604892,0.0,0.0,24.928784287351714,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,0.0,31.137027470120746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.02611111111109,-2.8594444444444447,0.0,0.0,106.23284238013748,605.3143748245428,711.54721720468,0.14929837375722468,0.8507016262427756,1.914994012456856,0.008007896684140994,0.9887921902975608,0.6189748919479817,0.0,2,0,2,0,0
69614,14,1,4.1006552261721225,216.44162173699897,487.4085659217782,-1.48,12.52,3.717080734621143,3.958277181422042,11.568914100752346,5.992531709446952,5.992531709446952,6.048547388496605,2.700389999955408,2.700389999955408,1.8162239071143973,1.8162239071143973,0.7253456570504488,0.7253456570504488,0.2084252154462185,0.2084252154462185,0.6853999999999996,26.3447,225.044,224.986062212,14,224.036,1,4,3,1,10,0,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,55.40000000000001,71.7677799012572,4.8375885837366335,4.794537184071822,4.794537184071822,31.82258688417012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.229082052190307,40.7691532379292,0.0,5.480096598121202,0.0,12.35259703488695,0.0,0.0,0.0,0.0,11.876485017303354,5.480096598121202,24.229082052190307,14.426662951880276,0.0,0.0,0.0,0.0,0.0,0.0,26.34249028604892,0.0,0.0,24.229082052190307,0.0,5.480096598121202,0.0,0.0,0.0,0.0,4.8375885837366335,0.0,35.93156465419256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.80175736961449,6.03157596371882,0.0,0.0,134.73311618435025,940.3318328462036,1075.064949030554,0.12532555945187,0.8746744405481299,2.190576610428108,0.0064919038861340215,0.992115670750178,0.6711428092001626,0.0,3,1,4,1,0
100849,13,5,4.452485803840841,207.5603758313661,372.9803401618436,-1.14,11.86,3.714227614476344,2.6726024360178515,10.69867061274927,6.197882777536584,6.197882777536584,5.731380475434848,2.9583311885094705,2.9583311885094705,1.9592889606045845,1.9592889606045845,0.9446666265209056,0.9446666265209056,0.3409792994924529,0.3409792994924529,1.9132,32.157999999999994,204.09400000000002,204.0209705,13,199.054,0,2,2,0,7,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,26.3,69.97710291181014,4.736862953800049,0.0,4.794537184071822,21.9520752383741,0.0,12.654955790432375,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,18.068132973489906,31.48347537624597,0.0,0.0,0.0,12.098827685538053,6.606881964512918,12.654955790432375,0.0,0.0,5.969305287951848,0.0,24.67501493800282,9.531400137871868,0.0,0.0,12.654955790432375,0.0,0.0,0.0,21.9520752383741,0.0,0.0,24.67501493800282,0.0,0.0,6.076020106833881,0.0,0.0,0.0,11.315798637398546,0.0,26.74661242244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33071097883597,2.835955687830688,0.0,0.0,116.00108321734415,599.5805618954753,715.5816451128192,0.1621074045283195,0.8378925954716806,1.8960253585016424,0.00722314457962235,0.986773119514862,0.5925142182237663,0.0,2,0,2,0,0
188429,13,5,4.525309058178907,229.6693353414797,288.75794110120086,-1.14,11.86,3.309944761357779,2.99903910369254,10.861807319565802,6.413425727160409,6.413425727160409,5.577185821959347,2.9108370088121367,2.9108370088121367,2.199569497140041,2.199569497140041,0.9534227835008988,0.9534227835008988,0.2614009127634023,0.2614009127634023,2.2608,31.90799999999999,204.09400000000002,204.0209705,13,199.054,0,2,2,0,7,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,26.3,69.97710291181015,4.736862953800049,0.0,4.794537184071822,21.9520752383741,0.0,6.578935683598497,0.0,6.923737199690624,0.0,0.0,0.0,5.826873879418166,0.0,18.00042396572791,31.48347537624597,0.0,0.0,0.0,18.954855877466684,0.0,12.405809563016666,0.0,0.0,5.969305287951848,0.0,18.00042396572791,9.531400137871868,0.0,6.923737199690624,12.405809563016666,0.0,0.0,0.0,21.9520752383741,0.0,0.0,23.827297845146077,6.923737199690624,0.0,0.0,0.0,0.0,0.0,11.315798637398546,0.0,26.74661242244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.93639172335601,1.3969416099773235,0.0,0.0,114.27425351783307,528.0907856501046,642.3650391679378,0.17789612844723576,0.8221038715527642,1.796410122539629,0.007194130315841186,0.9840492708617208,0.561252712207839,0.0,2,0,2,0,0
520048,15,3,5.177959766117404,267.14420010629647,772.6260558665492,-1.2799999999999998,13.72,3.703588209558114,2.2097073157753444,12.491563831562722,6.746704942368491,6.746704942368491,6.481380475434848,3.1250744968555377,3.1250744968555377,2.2185204333479214,2.2185204333479214,1.1970986144686695,1.1970986144686695,0.4558875875279482,0.4558875875279482,2.506,32.23799999999999,240.074,240.00212687599998,15,237.05,0,2,2,0,9,3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,26.3,78.30817371766263,4.736862953800049,0.0,4.794537184071822,30.732905333723746,0.0,6.578935683598497,0.0,0.0,6.26208044842079,0.0,0.0,0.0,0.0,23.990662141584483,40.26430547159561,0.0,0.0,0.0,18.02135685363263,0.0,12.841016132019286,0.0,0.0,5.969305287951848,0.0,23.990662141584483,9.531400137871868,0.0,0.0,12.841016132019286,0.0,0.0,0.0,30.732905333723746,0.0,0.0,23.990662141584483,6.26208044842079,0.0,0.0,0.0,0.0,0.0,11.315798637398546,0.0,35.52744251779556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1136970899471,-6.197030423280423,0.0,0.0,159.33149554911552,680.144372997333,839.4758685464485,0.1897987798327042,0.8102012201672958,1.8818462086784,0.005085003547949146,0.9818230101062088,0.5386743909798373,0.0,2,0,2,0,0
67908,12,5,4.502570288821159,173.1676178509478,214.9139520583548,-0.88,11.119999999999996,3.2392175310481544,2.0516315835444137,9.991563831562724,5.913425727160409,5.913425727160409,5.23138047543485,2.848941388768292,2.848941388768292,1.7926222939379175,1.7926222939379175,0.8878197302872207,0.8878197302872207,0.33746072560250084,0.33746072560250084,1.7471,27.634999999999994,192.083,192.0209705,12,187.043,0,2,2,0,7,2,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,26.3,64.3017638295978,4.736862953800049,0.0,4.794537184071822,21.9520752383741,0.0,0.0,6.923737199690624,0.0,6.606881964512918,0.0,0.0,0.0,0.0,18.068132973489906,31.48347537624597,0.0,0.0,0.0,19.022564885228675,6.606881964512918,0.0,0.0,0.0,5.969305287951848,0.0,24.67501493800282,9.531400137871868,0.0,6.923737199690624,0.0,0.0,0.0,0.0,21.9520752383741,0.0,0.0,24.67501493800282,0.0,0.0,6.923737199690624,0.0,0.0,0.0,4.736862953800049,0.0,26.74661242244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89225434618291,0.27441232048374875,0.0,0.0,114.92507459213213,410.32711348735023,525.2521880794824,0.21879980169590724,0.7812001983040927,1.6757653466275717,0.006797473928788508,0.9757697713999096,0.4872206545787833,0.0,2,0,2,0,0
137018,15,6,5.0531201963483126,245.63442510196955,768.7840846521071,-1.21,13.79,4.53948480010295,4.705020691402822,12.276020881938894,7.368740469359263,7.368740469359263,6.58655219095739,3.6152738944625313,3.6152738944625313,2.3055791355985567,2.3055791355985567,1.1595853533356921,1.1595853533356921,0.6261543986879169,0.6261543986879169,2.6005000000000007,36.82600000000001,236.111,236.027198752,15,230.063,0,2,2,0,8,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,26.3,80.507580429133,4.736862953800049,0.0,4.794537184071822,26.34249028604892,0.0,0.0,6.923737199690624,6.076020106833881,6.606881964512918,5.5731045300692665,0.0,0.0,0.0,18.3219023228388,35.87389042392079,0.0,0.0,0.0,19.276334234577575,6.606881964512918,11.64912463690315,0.0,0.0,5.969305287951848,0.0,24.928784287351718,9.531400137871868,0.0,6.923737199690624,11.64912463690315,0.0,0.0,0.0,26.34249028604892,0.0,0.0,29.97102695974195,6.606881964512918,0.0,0.0,6.923737199690624,0.0,0.0,4.736862953800049,0.0,31.137027470120746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.92355725623581,-1.0902239229024953,0.0,0.0,204.95052285599945,652.0562165434637,857.0067393994632,0.23914692082773584,0.7608530791722642,1.9300507521569743,0.003712374423688824,0.9709833934000172,0.4541329867409545,0.0,2,0,2,0,0
67724,13,5,4.191294140560503,207.5603758313661,364.0891413229952,-1.14,11.86,3.714227614476344,3.38915087723762,10.69867061274927,6.197882777536584,6.197882777536584,5.7045070218971725,2.942311423233694,2.942311423233694,2.0140426877404747,2.0140426877404747,0.9771037232343144,0.9771037232343144,0.302525587536832,0.302525587536832,1.9132,32.157999999999994,204.09400000000002,204.0209705,13,199.054,0,2,2,0,7,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,26.3,69.97710291181014,4.736862953800049,0.0,4.794537184071822,21.9520752383741,0.0,6.578935683598497,0.0,6.076020106833881,0.0,0.0,6.606881964512918,0.0,0.0,18.068132973489906,31.48347537624597,0.0,0.0,0.0,12.098827685538053,6.606881964512918,12.654955790432375,0.0,0.0,5.969305287951848,0.0,24.67501493800281,9.531400137871868,0.0,0.0,12.654955790432375,0.0,0.0,0.0,21.9520752383741,0.0,0.0,24.67501493800281,0.0,6.076020106833881,0.0,0.0,0.0,0.0,11.315798637398546,0.0,26.74661242244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.24355583900228,2.923110827664398,0.0,0.0,101.44720159513643,678.2704773950381,779.7176789901744,0.1301076073156664,0.8698923926843338,1.9791706230922832,0.008574828866704177,0.9914998792327674,0.6604611464972239,0.0,2,0,2,0,0
67721,14,3,5.176027066979411,230.72487846437573,481.9441528019812,-1.02,12.98,3.2813346952610916,1.7525828380879247,11.784457050376178,6.462247891992318,6.462247891992318,5.981380475434848,2.8893722364600216,2.8893722364600216,2.138126781715428,2.138126781715428,1.1921225995532874,1.1921225995532874,0.4343766184101449,0.4343766184101449,1.9923,27.965,228.063,228.00212687599998,14,225.039,0,2,2,0,9,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,26.3,72.63283463545027,4.736862953800049,0.0,4.794537184071822,30.732905333723746,0.0,0.0,0.0,0.0,7.1097975412775325,0.0,0.0,0.0,0.0,23.990662141584483,40.26430547159561,0.0,0.0,0.0,18.02135685363263,7.1097975412775325,0.0,0.0,0.0,5.969305287951848,0.0,31.10045968286201,9.531400137871868,0.0,0.0,0.0,0.0,0.0,0.0,30.732905333723746,0.0,0.0,23.990662141584483,7.1097975412775325,0.0,0.0,0.0,0.0,0.0,4.736862953800049,0.0,35.52744251779556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.39746267951625,-8.480796012849584,0.0,0.0,143.88024583379766,521.9208341007234,665.8010799345209,0.21610094992328305,0.783899050076717,1.7200590356976515,0.0054482743307391395,0.9763710255032432,0.4917960119033867,0.0,2,0,2,0,0
140676,12,3,4.859338596486246,217.8784690943957,268.8803004171856,-1.14,10.86,3.50515106448884,1.925589341573688,9.939157588755425,5.706318945973862,5.706318945973862,5.335439750931873,2.5114077634507943,2.5114077634507943,1.6403677126727938,1.6403677126727938,0.8833457670152667,0.8833457670152667,0.3364637156422595,0.3364637156422595,1.8723,27.313,190.067,190.00532043599998,12,187.043,0,2,2,0,7,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,26.3,63.61216079741354,4.736862953800049,0.0,4.794537184071822,21.9520752383741,0.0,0.0,0.0,0.0,7.1097975412775325,0.0,0.0,5.826873879418166,0.0,17.972477684813487,31.48347537624597,0.0,0.0,0.0,5.922529168094576,7.1097975412775325,11.90751710818523,0.0,0.0,5.969305287951848,0.0,19.001631997323962,9.531400137871868,0.0,0.0,11.90751710818523,0.0,0.0,0.0,21.9520752383741,0.0,0.0,23.799351564231657,0.0,7.1097975412775325,0.0,0.0,0.0,0.0,4.736862953800049,0.0,26.74661242244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44346277399849,0.3065372260015116,0.0,0.0,129.9941240790873,401.7726253111143,531.7667493902015,0.24445703727838725,0.7555429627216131,1.6861253554706062,0.005812131648827045,0.9696601244379772,0.4459066173896189,0.0,2,0,2,0,0
1751786,12,1,4.876455525039988,187.98710676103485,202.71357784736247,-0.95,11.05,2.8314862273286265,1.458853178773764,10.154700538379252,5.1616336881727145,5.1616336881727145,5.136751345948129,2.389288151549115,2.389288151549115,1.7855132885898723,1.7855132885898723,0.9490575773406676,0.9490575773406676,0.2731103225231553,0.2731103225231553,0.27199999999999963,20.905,195.038,194.98862217191,12,194.03,0,2,2,0,8,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,40.13,61.783045640816546,9.901064578912528,0.0,8.78083009534964,17.56166019069928,0.0,0.0,0.0,0.0,0.0,5.969305287951848,0.0,0.0,0.0,18.270503081048343,36.24355486496145,0.0,0.0,0.0,18.270503081048343,0.0,0.0,0.0,0.0,5.969305287951848,5.106527394840706,24.2398083690002,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,26.34249028604892,0.0,0.0,24.2398083690002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24355486496145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96875,-1.4687500000000029,0.0,0.0,128.48338677420784,358.2911273820592,486.77451415626695,0.26394846697533025,0.7360515330246699,1.583906255988646,0.005728768142749698,0.9645367835294688,0.41716097872989016,0.0,2,0,2,0,0
9781,11,3,4.590778800906394,160.35557783710274,133.86472542792743,-0.88,10.119999999999996,2.6302880658436205,1.7791999211866327,9.284457050376174,5.206318945973862,5.206318945973862,4.7313804754348485,2.2614077634507943,2.2614077634507943,1.5637337372776299,1.5637337372776299,0.7977832201915313,0.7977832201915313,0.24391022376059776,0.24391022376059776,1.3569999999999998,23.018,178.05599999999995,178.00532043599998,11,175.03199999999995,0,2,2,0,7,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,26.3,57.93682171520118,4.736862953800049,0.0,4.794537184071822,21.9520752383741,0.0,0.0,0.0,0.0,7.1097975412775325,0.0,0.0,0.0,0.0,18.068132973489906,31.48347537624597,0.0,0.0,0.0,12.098827685538053,7.1097975412775325,0.0,0.0,0.0,5.969305287951848,0.0,25.177930514767446,9.531400137871868,0.0,0.0,0.0,0.0,0.0,0.0,21.9520752383741,0.0,0.0,18.068132973489906,0.0,7.1097975412775325,0.0,0.0,0.0,0.0,4.736862953800049,0.0,26.74661242244592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.109907407407405,-0.4432407407407437,0.0,0.0,104.66245926289163,288.76728211820165,393.4297413810932,0.2660257938189553,0.7339742061810448,1.4992527912173361,0.0070127743161227,0.9639659107162424,0.4142317874741501,0.0,2,0,2,0,0
75076,14,4,4.760733137223858,213.4566783802349,482.82838004256257,-1.21,12.79,3.8877930069922138,3.668473920741131,11.568914100752346,6.4460907385488895,6.4460907385488895,6.08655219095739,3.052117664135363,3.052117664135363,2.1042757961308665,2.1042757961308665,0.9952597783072838,0.9952597783072838,0.4834739198046498,0.4834739198046498,2.2088,32.18699999999999,222.084,222.011548688,14,218.052,0,2,2,0,8,2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,26.3,74.14263831473639,4.736862953800049,0.0,4.794537184071822,26.34249028604892,0.0,6.578935683598497,0.0,6.076020106833881,0.0,0.0,0.0,0.0,6.103966387748303,18.3219023228388,35.87389042392079,0.0,0.0,0.0,18.456563422635245,0.0,12.654955790432375,0.0,0.0,5.969305287951848,0.0,24.42586871058711,9.531400137871868,0.0,0.0,12.654955790432375,0.0,0.0,0.0,26.34249028604892,0.0,0.0,24.42586871058711,6.076020106833881,0.0,0.0,0.0,0.0,0.0,11.315798637398546,0.0,31.137027470120746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0871060090703,-1.0871060090702986,0.0,0.0,195.51501358638455,451.06232423161515,646.5773378179997,0.3023845751324781,0.6976154248675219,1.7219883231460282,0.0035680913300261408,0.9531860095080869,0.3671555684367136,0.0,2,0,2,0,0
