,,,,"eco-indicator 99, (H,A):ecosystem quality:total","eco-indicator 99, (H,A):human health:total","eco-indicator 99, (H,A):resources:total","eco-indicator 99, (H,A):total:total","ReCiPe Endpoint (H,A):ecosystem quality:total","ReCiPe Endpoint (H,A):human health:total","ReCiPe Endpoint (H,A):resources:total","ReCiPe Endpoint (H,A):total:total",ReCiPe Midpoint (H) V1.13 no LT:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13 no LT:climate change:GWP100,ReCiPe Midpoint (H) V1.13 no LT:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13 no LT:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13 no LT:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13 no LT:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13 no LT:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13 no LT:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13 no LT:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13 no LT:metal depletion:MDP,ReCiPe Midpoint (H) V1.13 no LT:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13 no LT:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13 no LT:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13 no LT:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13 no LT:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13 no LT:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13 no LT:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13 no LT:water depletion:WDP
0,10898,"1,1-difluoroethane, HFC-152a//[RoW] 1,1-difluoroethane production, HFC-152a",CC(F)F,0.029223775,0.18842241,0.096575509,0.31422169,0.098793007,0.22525399,0.15120089,0.47524789,0.2751363,4.8625922,1.2280829,0.002845886,0.000390579,0.39823969,0.36490991,0.004735412,0.000483437,0.1845119,-0.000219295,3.24491E-07,0.009197026,0.011374045,0.027287617,0.000234237,0.02399386,0.11249601
1,10899,1-propanol//[RoW] 1-propanol production,CCCO,0.020063422,0.18491959,0.23220042,0.43718343,0.094041395,0.21073663,0.27899147,0.5837695,0.2325845,4.6122155,2.3096369,0.002793166,0.000253544,0.32013245,0.182468,0.003206007,0.000452383,0.10565356,-0.000237094,3.75756E-07,0.00989845,0.04740918,0.021212684,0.000185679,0.025273835,0.074330366
3,10900,"2,4-dichlorophenol//[RoW] 2,4-dichlorophenol production",C1=CC(=C(C=C1Cl)Cl)O,0.020926499,0.18648717,0.1744991,0.38191277,0.081113318,0.19712883,0.23287919,0.51112134,0.13621335,4.1321657,1.9234807,0.00374591,0.000303985,0.71778446,0.14227491,0.010285136,0.000495768,0.14216402,-0.000252798,1.01554E-06,0.009406004,0.016055545,0.0162065,0.001028062,0.029834324,0.075457949
4,10901,"2,4-dichlorotoluene//[RoW] 2,4-dichlorotoluene production",CC1=C(C=C(C=C1)Cl)Cl,0.014858949,0.12801471,0.15770718,0.30058083,0.059870878,0.14341138,0.18514696,0.38842922,0.090371104,3.082904,1.5593397,0.002069198,0.00019868,0.62085014,0.10691953,0.009099566,0.000383376,0.10002425,-0.000157589,9.60842E-07,0.006441157,0.010206292,0.011691888,0.000948644,0.019193419,0.069542243
5,13950,"2,4-dinitrotoluene//[GLO] 2,4-dinitrotoluene production",CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0.023303968,0.093422143,0.15338025,0.27010636,0.042908317,0.1080529,0.15608575,0.30704697,0.054891341,2.2242285,1.3477956,0.002072037,0.000113296,0.1729489,0.060888827,0.002661753,0.002359208,0.081021504,-8.29343E-05,1.29214E-07,0.006706569,0.005548508,0.033234824,0.000156744,0.009131567,0.037018619
6,1355,"2,4-di-tert-butylphenol//[GLO] 2,4-di-tert-butylphenol production",CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,0.011936997,0.11072056,0.21773497,0.34039253,0.062353808,0.13459155,0.23741769,0.43436305,0.072469151,3.3055735,2.02223,0.002545138,0.000159847,0.15364317,0.059099514,0.00195564,0.000251621,0.079811266,-0.00013604,7.9324E-08,0.005237451,0.012644349,0.009848621,9.59012E-05,0.015596794,0.035538916
7,1356,"2,5-dimethylhexane-2,5-dihydroperoxide//[GLO] 2,5-dimethylhexane-2,5-dihydroperoxide production",CC(C)(CCC(C)(C)OO)OO,0.02199594,0.17758115,0.21762958,0.41720667,0.090629806,0.20551279,0.25466007,0.55080266,0.13400778,4.7154809,2.1811016,0.00286151,0.000339922,0.31740248,0.1519028,0.003767691,0.000471083,0.14867256,-0.000215136,1.99379E-07,0.00888393,0.021082359,0.017964087,0.000250346,0.024033697,0.07252066
8,1357,"2,6-di-tert-butylphenol//[GLO] 2,6-di-tert-butylphenol production",CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,0.012334644,0.11463436,0.22717351,0.35414252,0.064765039,0.13968455,0.24739748,0.45184707,0.074568397,3.4353371,2.1078004,0.002642645,0.000164659,0.15791442,0.060769053,0.002013047,0.00026087,0.081761906,-0.000140507,8.16051E-08,0.005427346,0.013170347,0.010212141,9.90964E-05,0.016154867,0.036993602
9,15513,2-butanol//[RoW] 2-butanol production by hydration of butene,CCC(C)O,0.011554392,0.10494838,0.26290982,0.37941259,0.082291409,0.16615185,0.27295391,0.52139716,0.17182075,4.2215747,2.394333,0.002164086,0.000117567,0.17865807,0.030745642,0.001693716,0.000298842,0.049854513,-0.000113053,1.32321E-07,0.005622613,0.010879211,0.014957038,0.000108911,0.012145296,0.22074606
11,10902,2-methyl-2-butanol//[RoW] 2-methyl-2-butanol production,CCC(C)(C)O,0.012105846,0.10113121,0.20643246,0.31966951,0.066352344,0.14076334,0.22774847,0.43486416,0.21508921,3.2032053,1.9498198,0.004292098,0.000125455,0.20774236,0.033490069,0.002314344,0.000283832,0.045072761,-0.000124888,1.71678E-07,0.005762808,0.012626685,0.01572258,0.000148226,0.014329647,0.078717436
13,10903,2-nitroaniline//[RoW] 2-nitroaniline production,C1=CC=C(C(=C1)N)[N+](=O)[O-],0.033064911,0.2552224,0.24527052,0.53355784,0.12739013,0.28776874,0.3154621,0.73062097,0.17088777,6.6036358,2.6108708,0.066317419,0.00039452,0.5980268,0.15241371,0.011896409,0.009035734,0.27788424,-0.000317118,9.77888E-07,0.012384719,0.029556087,0.026990455,0.00053765,0.037180017,0.091771904
14,10904,2-pyridinol//[RoW] 2-pyridinol production,C1=CC(=O)NC=C1,0.4853064,3.3529645,5.7816686,9.6199396,1.964221,4.2513541,6.1330682,12.348643,3.0300866,101.10092,52.52816,0.17879967,0.005419666,10.438083,2.7536422,0.12984445,0.90905241,3.5868209,-0.004046703,7.50292E-06,0.16257825,0.32833732,0.38088034,0.010456939,0.53510955,1.2653639
16,10905,3-methyl-1-butyl acetate//[RoW] 3-methyl-1-butyl acetate production,CC(C)CCOC(=O)C,0.022127689,0.17027107,0.26590084,0.4582996,0.10952704,0.22429349,0.3057182,0.63953872,0.37786759,5.1573481,2.611089,0.004481724,0.000253366,0.33975993,0.18870521,0.003965145,0.000470886,0.10676668,-0.000220193,4.65942E-07,0.009170431,0.016529726,0.023200357,0.000380716,0.026889449,0.047830704
17,10906,4-methyl-2-pentanone//[RoW] 4-methyl-2-pentanone production,CC(C)CC(=O)C,0.015902469,0.13713929,0.30592002,0.45896179,0.083881756,0.18528763,0.31495408,0.58412346,0.092044241,4.4644737,2.7595244,0.006617511,0.00026668,0.2245931,0.068299618,0.002722305,0.000404248,0.090617989,-0.000142848,1.20687E-07,0.007529116,0.043717337,0.01798667,0.000166996,0.017769794,0.068533024
18,10907,4-tert-butylbenzaldehyde//[RoW] 4-tert-butylbenzaldehyde production,CC(C)(C)C1=CC=C(C=C1)C=O,0.016689456,0.1372761,0.28274003,0.43670558,0.087474263,0.18477974,0.29415988,0.56641389,0.087757603,4.6672095,2.5174047,0.002955258,0.000199545,0.25131374,0.090430472,0.00357825,0.000338317,0.12472302,-0.000161727,1.45587E-07,0.006610081,0.012722024,0.013390195,0.000216529,0.018597731,0.077103572
19,10908,4-tert-butyltoluene//[RoW] 4-tert-butyltoluene production,CC1=CC=C(C=C1)C(C)(C)C,0.006627932,0.050676358,0.2255012,0.28280549,0.042548735,0.085572028,0.21289743,0.3410182,0.02486721,2.333589,1.8582499,0.001163355,5.54924E-05,0.076393046,0.022919401,0.001207627,0.000156274,0.038378978,-4.43804E-05,4.04397E-08,0.002586064,0.007720218,0.006161867,7.62212E-05,0.005561938,0.040677227
20,10910,acetaldehyde//[RoW] acetaldehyde production,CC=O,0.007328629,0.057981976,0.15342922,0.21873983,0.034033136,0.074713523,0.1550284,0.26377506,0.05079266,1.7919056,1.3233974,0.000757362,7.56918E-05,0.088617691,0.028874491,0.000916464,0.000174831,0.038990774,-5.90322E-05,3.31E-08,0.003030346,0.005826858,0.006475074,8.94044E-05,0.005666092,0.019667291
21,10912,acetanilide//[RoW] acetanilide production,CC(=O)NC1=CC=CC=C1,0.030804672,0.21775783,0.25231436,0.50087686,0.10375142,0.24621906,0.301906,0.65187648,0.14332102,5.3152646,2.5097829,0.01429993,0.000367368,0.79055957,0.15131613,0.00748965,0.001334837,0.28140029,-0.000272365,3.62097E-07,0.011012878,0.020739516,0.026081994,0.000629576,0.033929103,0.080037203
22,10913,"acetic acid, without water, in 98% solution state//[RoW] acetic acid production, product in 98% solution state",CC(=O)O,0.00878079,0.078196866,0.13414871,0.22112636,0.036334595,0.080870703,0.14593242,0.26313772,0.056021712,1.7589323,1.2642012,0.004396321,0.000132424,0.1629043,0.12668224,0.002484749,0.000176661,0.071796524,-0.000107325,3.5973E-07,0.003891251,0.006883305,0.007375044,0.000392992,0.01076713,0.03864722
23,10914,"acetic anhydride//[RoW] acetic anhydride production, ketene route",CC(=O)OC(=O)C,0.017123024,0.13701724,0.19447296,0.34861322,0.077729823,0.16365543,0.22207651,0.46346176,0.16341382,3.7747507,1.8945809,0.008293147,0.000231309,0.29796445,0.19967302,0.004578996,0.000334727,0.12572524,-0.000190892,5.27812E-07,0.006760144,0.01204642,0.014794901,0.000638689,0.022544857,0.20184568
24,10915,acetoacetic acid//[RoW] acetoacetic acid production,CC(=O)CC(=O)O,0.033921457,0.25144499,0.40512998,0.69049643,0.16353421,0.33239965,0.44273724,0.9386711,0.32640184,8.1555194,3.7242109,0.008980724,0.000811485,0.57547583,0.28390544,0.008310772,0.000623334,0.28420984,-0.000345768,7.39398E-07,0.011744436,0.026345224,0.026745494,0.000815904,0.04505033,0.11006064
25,10916,acetone cyanohydrin//[RoW] acetone cyanohydrin production,CC(C)(C#N)O,0.006241096,0.065277491,0.25581406,0.32733264,0.068243609,0.14379498,0.23614063,0.44817922,0.000536118,3.8753881,2.1384219,0.000761896,0.000240612,0.033813954,0.000340573,0.000458278,0.000428501,0.001193606,-9.89202E-07,1.77001E-09,0.004729285,0.016595011,0.016082549,4.94208E-05,0.000310534,0.022943457
26,10917,"acetone, liquid//[RoW] acetone production, from isopropanol",CC(=O)C,0.010993893,0.087276021,0.2186244,0.31689432,0.052818605,0.11361837,0.21821159,0.38464857,0.058954571,2.7942833,1.8614203,0.001851952,0.000131193,0.16811283,0.052542765,0.002426813,0.000221586,0.09209403,-9.72916E-05,1.14059E-07,0.00413497,0.024119624,0.009611957,0.000149308,0.011898175,0.019990147
30,10919,acetyl chloride//[RoW] acetyl chloride production,CC(=O)Cl,0.031234225,0.24204116,0.29222201,0.5654974,0.14348897,0.30084856,0.3431191,0.78745663,0.27870326,7.1591924,2.8884005,0.023887059,0.000408816,0.61187513,0.2870527,0.017625393,0.000601423,0.23277195,-0.000325473,8.32215E-07,0.011519188,0.019858489,0.024419259,0.001106531,0.040148217,0.27446297
31,10920,acetylene//[RoW] acetylene production,C#C,0.022759502,0.31221267,0.094452335,0.4294245,0.11589476,0.29077638,0.20994172,0.61661286,0.14353731,6.0649357,1.7531726,0.004749048,0.000387806,0.36940348,0.28423808,0.003439641,0.000628704,0.067241389,-0.000352279,2.31407E-07,0.016780967,0.017513883,0.024272744,0.000206745,0.030200979,0.14140471
32,10921,aclonifen//[RoW] aclonifen production,C1=CC=C(C=C1)OC2=C(C(=C(C=C2)[N+](=O)[O-])N)Cl,0.045391803,0.37113061,0.28790536,0.70442777,0.16712739,0.39095803,0.40307119,0.96115661,0.33960297,8.4187711,3.2932367,0.072733485,0.00061878,0.98190297,0.22981117,0.019939064,0.006544719,0.37847196,-0.000499328,1.44719E-06,0.018120375,0.034168891,0.035691503,0.00100312,0.056677075,0.14329987
33,10922,acrolein//[RoW] acrolein production,C=CC=O,0.00701552,0.078114771,0.1918508,0.27698109,0.046008881,0.10052388,0.19598956,0.34252232,0.038639061,2.4837758,1.677823,0.001281095,9.46155E-05,0.10541144,0.052747956,0.001284513,0.000194494,0.041064845,-7.82491E-05,6.07908E-08,0.004077452,0.00986794,0.007800954,7.86449E-05,0.006931649,0.035385603
34,10923,acrylic acid//[RoW] acrylic acid production,C=CC(=O)O,0.004265332,0.044193218,0.14303456,0.19149311,0.037845629,0.074257391,0.13837888,0.2504819,0.026059469,2.0777421,1.1799996,0.00049335,5.88184E-05,0.065356947,0.020274585,0.00073049,0.000108134,0.038611718,-4.19829E-05,2.11392E-08,0.002013924,0.004252073,0.004249541,3.32129E-05,0.003789454,0.010914802
36,10933,adipic acid//[RoW] adipic acid production,C(CCC(=O)O)CC(=O)O,0.024144439,0.23789425,0.22019654,0.48223523,0.26975692,0.49109375,0.28090892,1.0417596,0.26051506,14.621379,2.4013775,0.003572273,0.000257648,0.31015767,0.053826876,0.003790103,0.000630711,0.15013162,-0.000239777,2.50894E-07,0.010048373,0.020330089,0.025258992,0.000225711,0.028027594,0.039230609
38,10954,"alkylbenzene sulfonate, linear, petrochemical//[RoW] alkylbenzene sulfonate production, linear, petrochemical",CCCCCCC(CCCCC)C1=CC=C(C=C1)S(=O)(=O)O,0.01100015,0.069798169,0.15595276,0.23675108,0.031677941,0.077919249,0.16819563,0.27779282,0.085547914,1.5473,1.3703275,0.001389048,0.000118247,0.30732619,0.029121272,0.002022376,0.000206793,0.068743162,-0.000101486,1.58568E-07,0.003718452,0.007546222,0.00839026,0.00011404,0.0111711,0.019351957
39,10953,"alkylbenzene, linear//[RoW] alkylbenzene production, linear",CCCCCCCCCC1=CC=CC=C1,0.010977034,0.079191799,0.19814404,0.28831288,0.040198418,0.092440954,0.21168343,0.3443228,0.1120563,1.9819842,1.71021,0.00086333,0.000126783,0.13401975,0.020385075,0.001504949,0.000216223,0.066858545,-0.0001076,4.44853E-08,0.00426267,0.009368698,0.009689663,8.94964E-05,0.011968447,0.020902345
40,15523,"allyl chloride//[RoW] allyl chloride production, reaction of propylene and chlorine",C=CCCl,0.006047599,0.057537382,0.096911765,0.16049675,0.027949712,0.064157214,0.10580218,0.1979091,0.044045076,1.451754,0.88973974,0.000963668,8.7366E-05,0.10618212,0.039085983,0.001110733,0.000170236,0.04666758,-6.75065E-05,3.97184E-07,0.002905269,0.004396566,0.005434702,5.88608E-05,0.007504133,0.020833664
41,10957,alpha-naphthol//[RoW] alpha-naphthol production,C1=CC=C2C(=C1)C=CC=C2O,0.023427192,0.16016972,0.24263355,0.42623046,0.067936233,0.16025662,0.26309575,0.49128861,0.11725546,3.1577228,2.084341,0.004486053,0.000282506,0.37059199,0.34181676,0.005203769,0.000416335,0.18348553,-0.000201033,1.27936E-06,0.008138269,0.010525752,0.019852269,0.00030983,0.025833516,0.065234891
42,10958,alpha-picoline//[RoW] alpha-picoline production,CC1=CC=CC=N1,0.017504545,0.12329786,0.27072327,0.41152568,0.07278538,0.15783097,0.27844197,0.50905832,0.1167561,3.766329,2.3673978,0.003589459,0.000177561,0.26948867,0.091345976,0.003500631,0.004010507,0.10724237,-0.000138656,1.63015E-07,0.006287286,0.01446842,0.014448605,0.00027498,0.017060646,0.051765477
43,1425,aluminium chloride//[GLO] aluminium chloride production,[Al](Cl)(Cl)Cl,0.02940913,0.24078643,0.073465278,0.34366083,0.098152861,0.23935013,0.15737721,0.4948802,0.1522644,5.0933398,1.2631182,0.002094157,0.000276275,0.65247515,0.11150525,0.004667113,0.000592489,0.10702746,-0.000439828,6.2287E-07,0.012614902,0.015876568,0.024746137,0.000348537,0.032937974,0.047288517
44,10966,aluminium fluoride//[RoW] aluminium fluoride production,F[Al](F)F,0.021537338,0.090458203,0.040530303,0.15252584,0.02744275,0.074672532,0.049046423,0.1511617,0.040331654,1.4075538,0.38109735,0.001137134,8.96003E-05,0.39239914,0.033575227,0.001897014,0.000199134,0.073150729,-9.44533E-05,1.03486E-07,0.003753242,0.005539133,0.009227869,7.19304E-05,0.011605246,0.016325088
46,1135,aluminium oxide//[UN-OCEANIA] aluminium oxide production,[O-2].[O-2].[O-2].[Al+3].[Al+3],0.006476914,0.12635584,0.066440723,0.19927347,0.020160709,0.06627448,0.040111676,0.12654687,0.015664448,1.0603297,0.31985223,0.001999594,4.56269E-05,0.8854908,0.019461957,0.002086219,0.000161208,0.072692749,-5.50501E-05,1.09042E-07,0.002795024,0.004539718,0.007092249,5.8835E-05,0.012672582,0.005723737
47,10975,"aluminium sulfate, powder//[RoW] aluminium sulfate production, powder",[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],0.008214584,0.065109878,0.027169081,0.10049354,0.016100411,0.049316551,0.036345591,0.10176255,0.037661909,0.78195815,0.27373415,0.001010355,0.00010484,0.21706408,0.033103203,0.001539057,0.000117636,0.078758358,-6.94596E-05,5.70089E-08,0.002763426,0.003225975,0.006891952,7.8673E-05,0.008941451,0.013518594
49,10985,"ammonia, liquid//[RoW] ammonia production, steam reforming, liquid",N,0.007784944,0.039156492,0.11967262,0.16661406,0.035914221,0.066944079,0.11192438,0.21478268,0.020251724,1.881724,1.02912,0.005963033,4.592E-05,0.20154469,0.053048879,0.004321024,0.000196226,0.052229837,-2.97166E-05,2.67387E-07,0.001696432,0.003173907,0.004080057,0.000297092,0.003758865,0.05567806
51,10986,ammonium bicarbonate//[RoW] ammonium bicarbonate production,C(=O)(O)[O-].[NH4+],0.007443121,0.051665837,0.043502659,0.10261162,0.025402949,0.056413594,0.054209475,0.13602602,0.045903665,1.2760688,0.44555055,0.001856608,9.40875E-05,0.15400439,0.044551619,0.002286249,0.000195134,0.071006908,-6.97082E-05,1.03494E-07,0.002289477,0.002781306,0.00441446,0.000245424,0.007059335,0.016888051
52,10987,ammonium carbonate//[RoW] ammonium carbonate production,C(=O)([O-])[O-].[NH4+].[NH4+],0.009601315,0.058416037,0.064545981,0.13256333,0.03109301,0.068158729,0.07294122,0.17219296,0.046109925,1.5746824,0.61917488,0.002721287,9.581E-05,0.1863176,0.054432609,0.003032738,0.007700521,0.074831419,-7.19343E-05,1.54367E-07,0.002804585,0.00331775,0.007065756,0.000287089,0.007663755,0.034046927
53,1451,ammonium chloride//[GLO] ammonium chloride production,[NH4+].[Cl-],0.012845541,0.081358381,0.072168126,0.16637205,0.037441022,0.088778038,0.088723647,0.21494271,0.072855019,1.8541925,0.73486453,0.002767426,0.000145531,0.3771929,0.083876079,0.005936032,0.01358603,0.10024142,-0.000101856,4.13426E-07,0.003936534,0.004611698,0.009651124,0.000527235,0.011759831,0.044801174
55,10988,"ammonium nitrate, as N//[RoW] ammonium nitrate production",[NH4+].[N+](=O)([O-])[O-],0.037485579,0.21678715,0.16927739,0.42355012,0.1603896,0.32360414,0.17513353,0.65912727,0.11575753,8.6263733,1.4350108,0.008378356,0.000298919,0.56568819,0.11762811,0.010485478,0.002221072,0.54707585,-0.000155683,4.24566E-07,0.010738505,0.017717902,0.03688069,0.000602701,0.020332829,0.073503721
59,10990,"ammonium sulfate, as N//[RoW] ammonium sulfate production",[NH4+].[NH4+].[O-]S(=O)(=O)[O-],0.014005266,0.08593726,0.060653373,0.1605959,0.04145605,0.091573954,0.083245395,0.2162754,0.15802403,1.9139664,0.67018758,0.00211708,0.000201875,0.26902647,0.026700831,0.003072518,0.000172629,0.17337328,-0.000140517,1.12455E-07,0.00349848,0.005363958,0.008277568,0.000115621,0.014556212,0.004589912
60,1455,ammonium thiocyanate//[GLO] ammonium thiocyanate production,C(#N)[S-].[NH4+],0.010000023,0.0573608,0.15442183,0.22178266,0.035176122,0.0748637,0.15102231,0.26106213,0.036599516,1.7639586,1.3844131,0.006776691,7.60048E-05,0.26717718,0.088019606,0.00429705,0.003087133,0.055810475,-6.17117E-05,3.16178E-07,0.003073585,0.004415421,0.008695001,0.000288115,0.008409005,0.042422741
61,10998,anhydrite//[RoW] anhydrite production,OS(=O)(=O)O.[Ca],0.000143605,0.006989965,0.00080872,0.00794229,0.000607147,0.004065613,0.0012512,0.00592396,0.001208776,0.032779447,0.010443296,2.28762E-05,1.68842E-06,0.00217049,0.001618704,2.58286E-05,5.90095E-06,0.000650989,-1.30493E-05,2.32504E-09,0.000578265,0.000150942,0.000173657,2.09316E-06,0.000291303,0.000136293
62,10999,aniline//[RoW] aniline production,C1=CC=C(C=C1)N,0.031156828,0.21460365,0.24034202,0.4861025,0.10113493,0.24696629,0.29152051,0.63962173,0.12124127,5.287063,2.4171287,0.01277962,0.000351152,0.88068284,0.086321983,0.007084743,0.001635575,0.2915689,-0.000250265,2.01578E-07,0.011089856,0.021707039,0.027708692,0.000424958,0.030823974,0.067018285
63,11007,anthranilic acid//[RoW] anthranilic acid production,C1=CC=C(C(=C1)C(=O)O)N,0.033592334,0.21717004,0.29361877,0.54438114,0.16520904,0.33398876,0.30658702,0.80578481,0.12143237,8.9209219,2.5960596,0.00689371,0.00030413,0.45170468,0.12088007,0.008204955,0.01764227,0.4163687,-0.000195491,3.78008E-07,0.010691432,0.021882569,0.033209847,0.000509397,0.022960723,0.0943007
64,11008,anthraquinone//[RoW] anthraquinone production,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,0.6601243,1.0710506,0.7371204,2.4682953,0.42577436,1.0485878,1.846123,3.3204851,0.70747764,21.660416,7.9915516,0.040867226,0.001450697,1.7940798,0.68970368,0.036737742,0.002389239,0.70438202,-0.001261597,1.46238E-06,0.053523731,0.065437217,0.11759498,0.001616114,0.15330881,0.37839474
65,11009,antimony//[RoW] antimony production,[Sb],1.0573083,18.979515,0.19846042,20.235284,0.29540232,7.1214558,0.43274942,7.8496076,1.0745344,10.097807,2.6494023,0.037066666,0.095939958,14.210386,0.44189732,0.04616358,0.018147502,0.96608209,-0.004656262,5.06248E-07,0.18464813,0.1437522,0.17264572,0.000991315,0.51690664,0.15207914
