,,,,"eco-indicator 99, (H,A):ecosystem quality:total","eco-indicator 99, (H,A):human health:total","eco-indicator 99, (H,A):resources:total","eco-indicator 99, (H,A):total:total","ReCiPe Endpoint (H,A):ecosystem quality:total","ReCiPe Endpoint (H,A):human health:total","ReCiPe Endpoint (H,A):resources:total","ReCiPe Endpoint (H,A):total:total",ReCiPe Midpoint (H) V1.13 no LT:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13 no LT:climate change:GWP100,ReCiPe Midpoint (H) V1.13 no LT:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13 no LT:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13 no LT:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13 no LT:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13 no LT:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13 no LT:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13 no LT:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13 no LT:metal depletion:MDP,ReCiPe Midpoint (H) V1.13 no LT:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13 no LT:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13 no LT:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13 no LT:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13 no LT:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13 no LT:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13 no LT:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13 no LT:water depletion:WDP
67,11014,"argon, liquid//[RoW] argon production, liquid",[Ar],0.00947975,0.12556702,0.039501566,0.17454833,0.049718507,0.12202494,0.088611269,0.26035472,0.080106726,2.5706832,0.74685999,0.001834435,0.000168831,0.14031081,0.16029212,0.0012307,0.000277246,0.015090386,-0.000138924,1.1751E-07,0.006796458,0.006654196,0.010747898,7.72885E-05,0.011364274,0.065958404
68,1489,arsine//[GLO] arsine production,[AsH3],0.51089399,0.70211124,0.29662303,1.5096283,0.17196937,0.57817848,0.43780097,1.1879488,0.43202492,8.332174,2.3986506,0.006197305,0.002041131,5.5784948,0.28822682,0.077225029,0.002048825,3.290742,-0.000937125,1.5535E-06,0.026464568,0.036744132,0.061427643,0.003830715,0.085133118,0.1349521
70,11015,ascorbic acid//[RoW] ascorbic acid production,C(C(C1C(=C(C(=O)O1)O)O)O)O,0.16815043,0.18837551,0.089226559,0.44575249,0.14819924,0.16972956,0.13406603,0.45199483,1.7374447,3.5740066,1.0974877,0.007189175,0.000383337,0.36337214,0.14275678,0.004908418,0.012032891,0.28840963,-0.000213454,2.13438E-07,0.008845505,0.010127841,0.020960205,0.004632423,0.055566674,0.063157903
71,11019,atrazine//[RoW] atrazine production,CCNC1=NC(=NC(=N1)Cl)NC(C)C,0.042448244,0.32585399,0.33524552,0.70354776,0.16043408,0.36966819,0.40504955,0.93515181,0.30012636,8.1450062,3.382898,0.006028328,0.000734336,1.303209,0.26628376,0.01797167,0.006348847,0.3701291,-0.000421975,1.70372E-06,0.015548483,0.023009979,0.032931059,0.001598261,0.049546503,0.14642422
73,11021,azodicarbonamide//[RoW] azodicarbonamide production,C(=O)(N)N=NC(=O)N,0.10607565,0.74639416,0.47521418,1.327684,0.29277348,0.72316866,0.6526574,1.6685995,0.62616675,14.395614,5.3154858,0.39290422,0.001309339,2.0408357,0.72273064,0.028135418,0.059213525,0.81727532,-0.000928919,5.3635E-06,0.037078163,0.041315501,0.081576478,0.069639085,0.11913424,0.46284595
74,1514,barium carbonate//[GLO] barium carbonate production,C(=O)([O-])[O-].[Ba+2],0.013125705,0.092602883,0.041062923,0.14679151,0.044552529,0.50596341,0.067732459,0.61824839,0.12085646,2.1455088,0.52350717,0.1934538,0.000184341,29.639731,0.078433371,0.200445,0.000306463,0.11667538,-0.000158604,1.10909E-07,0.004364708,0.005872666,0.009239406,0.000123261,0.020137248,0.056972642
75,1515,barium hydroxide//[GLO] barium hydroxide production,[OH-].[OH-].[Ba+2],0.025193568,0.18426449,0.084456371,0.29391443,0.087916893,1.2091756,0.13791177,1.4350043,0.21448619,4.2699576,1.0774239,0.48082695,0.000358055,73.643965,0.16331699,0.49741011,0.00054419,0.2254592,-0.000302649,2.25792E-07,0.008613102,0.011329502,0.017195428,0.00024696,0.039354313,0.081707255
76,1516,barium oxide//[GLO] barium oxide production,O=[Ba],0.022256748,0.16081086,0.072593056,0.25566066,0.079319724,0.99502149,0.11874517,1.1930864,0.19494181,3.8611179,0.9236576,0.3894311,0.000313231,59.653366,0.13946287,0.40307438,0.000497234,0.19776454,-0.000267713,1.95286E-07,0.0075145,0.010024036,0.015376533,0.000216242,0.034892202,0.081813914
77,1517,barium sulfide//[GLO] barium sulfide production,[S-2].[Ba+2],0.005166508,0.040347076,0.018969068,0.064482652,0.022486613,0.24001919,0.029493478,0.29199928,0.038364884,1.1382239,0.23139156,0.091341819,7.05657E-05,13.988852,0.035942069,0.094542543,0.00010567,0.046730246,-7.563E-05,5.18762E-08,0.001847553,0.002734664,0.003472305,4.98833E-05,0.008945791,0.039402274
78,11047,benzal chloride//[RoW] benzal chloride production,C1=CC=C(C=C1)C(Cl)Cl,0.011438915,0.095693075,0.15023166,0.25736365,0.050568859,0.11762667,0.16664518,0.33484071,0.082641914,2.6042546,1.420884,0.001727477,0.000141235,0.56415086,0.062584306,0.008478897,0.000279736,0.074399095,-0.000114807,5.68775E-07,0.004841522,0.008687753,0.009427773,0.000921454,0.013771428,0.054624491
79,11048,benzaldehyde//[RoW] benzaldehyde production,C1=CC=C(C=C1)C=O,0.02275824,0.18030192,0.25544742,0.45850758,0.096534487,0.2212282,0.28980684,0.60756952,0.18133033,4.9078861,2.4559358,0.003261242,0.000276436,0.97568603,0.11271494,0.014389755,0.000521039,0.15712493,-0.00022958,9.42272E-07,0.009030044,0.01600447,0.018291356,0.001516898,0.030175395,0.097506605
80,1558,benzaldehyde-2-sulfonic acid//[GLO] benzaldehyde-2-sulfonic acid production,C1=CC=C(C(=C1)C=O)S(=O)(=O)[O-].[Na+],0.05807358,0.52560634,0.37925533,0.96293524,0.25071904,0.59979437,0.52890324,1.3794166,0.41356085,12.83802,4.4281286,0.015853801,0.000810789,1.1773186,0.56937332,0.01570134,0.001342179,0.35053454,-0.000646322,2.48905E-06,0.028278176,0.033346604,0.064070068,0.001191946,0.071005198,0.15860504
81,11049,benzene//[RoW] benzene production,C1=CC=CC=C1,0.006094335,0.026680532,0.20726385,0.24003872,0.03139748,0.062778929,0.18700377,0.28118018,0.000166997,1.7861455,1.6390344,0.000190616,8.96912E-07,0.007185202,9.93132E-05,0.000586794,0.000118152,0.000673038,-2.92084E-07,5.54809E-10,0.001793965,0.005671804,0.005809095,3.96194E-05,8.44953E-05,0.032537952
82,11053,benzyl alcohol//[RoW] benzyl alcohol production,C1=CC=C(C=C1)CO,0.021130239,0.1456812,0.22882282,0.39563426,0.082645983,0.18235994,0.25235067,0.51735659,0.19741027,4.1295832,2.1273227,0.003065469,0.000252112,0.60698419,0.079508511,0.008579622,0.00052881,0.15461191,-0.00019158,4.93344E-07,0.007250447,0.013722645,0.016911489,0.000803549,0.026157927,0.09200233
83,11054,benzyl chloride//[RoW] benzyl chloride production,C1=CC=C(C=C1)CCl,0.010132874,0.07979742,0.17654363,0.26647393,0.04826783,0.10700651,0.18292811,0.33820245,0.069472106,2.5228804,1.5766132,0.001547693,0.000110586,0.3891234,0.046030283,0.005810809,0.000238717,0.06147836,-9.08879E-05,3.74134E-07,0.004065954,0.008786005,0.008489159,0.000609775,0.011348773,0.052292454
84,11059,"bisphenol A, powder//[RoW] bisphenol A production, powder",CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,0.016503966,0.14076501,0.24468462,0.4019536,0.075526083,0.16884714,0.27791485,0.52228807,0.094145098,3.9681546,2.3589615,0.003547829,0.000232843,0.21159308,0.075660248,0.002719852,0.000338661,0.10491613,-0.000188482,1.06643E-07,0.007206579,0.018531717,0.013563732,0.000155623,0.022379012,0.046666533
85,11086,"borax, anhydrous, powder//[RoW] borax production, anhydrous, powder",B1(OB2OB(OB(O1)O2)[O-])[O-].[Na+].[Na+],0.0069137,0.087344318,0.049567072,0.14382509,0.030097128,0.078998978,0.062584528,0.17168063,0.041152164,1.5158592,0.55823643,0.001725423,6.17745E-05,0.075616899,0.052378979,0.001140313,0.000207079,0.018860085,1.70074E-05,1.1195E-07,0.006008389,0.005796008,0.006664228,5.75892E-05,0.007026433,0.005033788
87,1609,boric oxide//[GLO] boric oxide production,B(=O)OB=O,0.031894343,0.24517653,0.099895837,0.37696671,0.049695076,0.17510357,0.12624188,0.35104053,0.14099471,2.2626839,0.98274273,0.003352433,0.00032475,0.35538159,0.11933478,0.005315896,0.000530783,0.24270218,2.23514E-05,2.37696E-07,0.015013013,0.014949532,0.026159156,0.000272039,0.023268988,0.061099742
88,1610,boron carbide//[GLO] boron carbide production,B12B3C14B2B43,0.10744488,0.98018626,0.35708436,1.4447155,0.33486705,0.88856889,0.55586125,1.7792972,0.58038885,16.911918,4.4570327,0.013299106,0.001284785,1.3101127,0.71239817,0.017274792,0.002092322,0.68118448,-0.000381145,9.12532E-07,0.055970106,0.057746463,0.094490368,0.000929145,0.09714912,0.20060634
89,1611,boron trifluoride//[GLO] boron trifluoride production,B(F)(F)F,0.041857554,0.26335425,0.13475081,0.43996262,0.058741429,0.20723093,0.16600172,0.43197408,0.19136118,2.6396747,1.2893577,0.004698829,0.000459625,1.0508866,0.13955377,0.007509115,0.000553916,0.36774344,-0.000139621,2.92643E-07,0.014477892,0.015861161,0.034632244,0.00039403,0.03263052,0.090116026
90,11100,bromine//[RoW] bromine production,BrBr,0.018115923,0.14080323,0.18562197,0.34454112,0.1047865,0.21643509,0.21871486,0.53993645,0.07127539,5.5483166,1.9102128,0.008014785,0.000175206,0.29556038,0.14395102,0.007028695,0.000388842,0.071649297,-0.000160947,7.8001E-07,0.007205774,0.010797942,0.018135738,0.000632368,0.017891398,0.45453504
91,11101,bromopropane//[RoW] bromopropane production,CC(C)Br,0.019481763,0.14157274,0.22118271,0.38223721,0.09587093,0.19925277,0.24654291,0.54166661,0.11878451,4.8841116,2.093075,0.005532596,0.000209701,0.38011356,0.23064489,0.00699446,0.000402982,0.10983086,-0.000174311,9.70476E-07,0.00715277,0.010962399,0.017911876,0.000575658,0.020870831,0.34475466
92,11102,bronze//[RoW] bronze production,[Cu].[Sn],1.1515322,6.77146,1.5502372,9.4732294,0.14975819,3.1422015,5.1231555,8.4151152,0.73831583,4.8074449,1.3141224,0.012978019,0.03072519,44.555782,0.21424458,0.48548062,0.006734601,106.65774,-0.00333647,2.95285E-07,0.10958543,0.078063166,0.32676017,0.008763443,0.17605682,0.074298409
93,11109,butadiene//[RoW] butadiene production,C=CC=C,0.001346313,0.018128576,0.20806127,0.22753616,0.020537563,0.040693142,0.185702,0.2469327,0.000138009,1.1688965,1.5500171,8.184E-05,6.74126E-07,0.00212381,7.10758E-05,3.74253E-05,8.55318E-05,0.0003186,-2.15533E-07,4.37746E-10,0.001187047,0.004606699,0.003440398,7.98784E-06,5.00732E-05,0.006854899
94,15689,butane//[RoW] natural gas production,CCCC,0.001016851,0.008803135,0.20146966,0.21128965,0.008185996,0.018332244,0.18130354,0.20782178,0.00150728,0.39072491,1.8338061,0.021275744,3.63019E-06,0.29677294,0.002904569,0.006033221,3.85628E-05,0.002256258,-3.18225E-06,1.0795E-08,0.000597519,0.002104031,0.002328627,0.000306935,0.000577237,0.000331019
95,11110,"butane-1,4-diol//[RoW] butane-1,4-diol production",C(CCO)CO,0.021134412,0.20791523,0.18387182,0.41292146,0.10240809,0.23186505,0.24601902,0.58029216,0.22311644,5.1162071,2.1906125,0.007951892,0.000301034,0.38087709,0.13774849,0.005336156,0.000490373,0.1223467,-0.000259967,3.58062E-07,0.010930283,0.015927943,0.021949874,0.000336949,0.027415445,0.24648947
96,11111,"butene, mixed//[RoW] butene production, mixed",CCC=C,0.001403025,0.020614949,0.20385844,0.22587642,0.026909605,0.051153038,0.18370992,0.26177256,0.000154466,1.532336,1.6210166,0.000161262,7.83312E-07,0.004814201,9.19779E-05,6.50189E-05,8.97374E-05,0.000430646,-2.70583E-07,5.02781E-10,0.001239861,0.004505702,0.003546537,8.6006E-06,7.82928E-05,0.015873654
97,11112,butyl acetate//[RoW] butyl acetate production,CCCCOC(=O)C,0.016589521,0.12684416,0.23102316,0.37445684,0.073928538,0.15601109,0.25178738,0.48172701,0.19421994,3.5528675,2.1297037,0.004102092,0.00020779,0.27060458,0.16917499,0.003511798,0.000338421,0.11289339,-0.000169595,4.21141E-07,0.006489841,0.01459435,0.015421658,0.000348843,0.020483311,0.035632186
98,11113,butyl acrylate//[RoW] butyl acrylate production,CCCCOC(=O)C=C,0.016098484,0.13155905,0.23459688,0.38225441,0.083734941,0.17827294,0.25583628,0.51784416,0.21599924,4.1473507,2.1560271,0.001971478,0.000185402,0.24723691,0.10179223,0.002546075,0.000354061,0.096346191,-0.000158087,2.29918E-07,0.00714385,0.013299103,0.018453546,0.000142979,0.019156017,0.097766177
99,1639,butyldiglycol acetate//[GLO] butyldiglycol acetate production,CCCCOCCOCCOC(=O)C,0.01307288,0.11969978,0.22060188,0.35337454,0.06134338,0.13194043,0.23339413,0.42667794,0.12225315,3.07311,1.9735825,0.002693815,0.000181256,0.23249404,0.14146737,0.002707676,0.000283166,0.099644405,-0.000136806,2.74385E-07,0.005401184,0.010607518,0.011585331,0.000193972,0.01491128,0.033670597
101,11114,"cadmium chloride, semiconductor-grade//[RoW] cadmium chloride production, semiconductor-grade",Cl[Cd]Cl,0.024057069,0.18823458,0.05204347,0.26433511,0.058807593,0.15165743,0.10920945,0.31967448,0.16795854,2.8611632,0.85221632,0.002162965,0.000298326,0.67677685,0.18797161,0.004808023,0.000369473,0.1443673,-0.00029251,3.04511E-07,0.007851747,0.008303794,0.013852929,0.000405941,0.022703142,0.026195182
107,11118,"cadmium sulfide, semiconductor-grade//[RoW] cadmium sulfide production, semiconductor-grade",S=[Cd],0.036277257,0.27471467,0.10589185,0.41688378,0.085456108,0.21887727,0.18318967,0.48752305,0.25158575,4.1034484,1.4487601,0.004237465,0.000448952,0.98761636,0.2803529,0.007652238,0.000548699,0.24008151,-0.000426911,4.7487E-07,0.011249713,0.012599717,0.020446947,0.000601647,0.037459302,0.040782675
109,11119,"cadmium telluride, semiconductor-grade//[RoW] cadmium telluride production, semiconductor-grade",[Cd]=[Te],0.41730164,2.8042501,0.43057001,3.6521218,0.31621821,1.6292744,0.98682206,2.9323147,0.99279363,15.169631,4.3502457,0.014088456,0.010585929,15.148995,0.90292981,0.16008314,0.003715013,10.092566,-0.003084037,7.03757E-07,0.067918133,0.058857055,0.15988213,0.003310008,0.12554905,0.14966775
113,11115,"cadmium//[RoW] cadmium production, primary",[Cd],0.008105228,0.064564835,0.01823378,0.090903843,0.021497471,0.055621911,0.040646364,0.11776575,0.061074873,1.0413181,0.3041522,0.000836347,0.000130939,0.13975002,0.062505286,0.001512232,0.000126812,0.079166621,-8.45095E-05,4.96478E-08,0.002971987,0.00294839,0.005094187,5.81124E-05,0.008148896,0.006862515
115,11122,calcium borates//[RoW] calcium borates production,B([O-])([O-])[O-].B([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2],0.001235374,0.020332481,0.003113675,0.02468153,0.002324879,0.01190591,0.00359375,0.017824539,0.010428184,0.086918677,0.028188767,4.50391E-05,2.59933E-06,0.003465643,0.005089809,4.61382E-05,3.4072E-05,0.001656566,5.40995E-05,1.12882E-08,0.001786588,0.000946077,0.000679146,3.41751E-06,0.000281012,0.000213398
117,11123,"calcium carbide, technical grade//[RoW] calcium carbide production, technical grade",C#C.[Ca],0.015430892,0.19859689,0.061905161,0.27593294,0.077276713,0.18808071,0.15436787,0.41972529,0.10306232,4.0044312,1.2507198,0.002271031,0.000269703,0.2182214,0.14523064,0.002570073,0.00036134,0.052506094,-0.000274423,1.6478E-07,0.010367243,0.035067546,0.013967938,0.000132211,0.024271165,0.024217786
118,11124,"calcium carbonate, precipitated//[RoW] calcium carbonate production, precipitated",C(=O)([O-])[O-].[Ca+2],0.007114383,0.052319722,0.031786596,0.0912207,0.033206234,0.066133932,0.044005594,0.14334576,0.075029636,1.6646355,0.34883038,0.000955284,8.5911E-05,0.11646267,0.046267531,0.001673339,0.000178539,0.057353865,-6.85173E-05,8.62018E-08,0.002322882,0.003176645,0.00419414,0.000168974,0.008439324,0.006400444
121,15541,calcium nitrate//[RoW] calcium nitrate production,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ca+2],0.016065785,0.089302341,0.049770862,0.15513899,0.06298949,0.127559,0.060212409,0.2507609,0.075178791,3.3321083,0.44692988,0.002520918,0.000176348,0.24967533,0.039744371,0.004058827,0.000557496,0.25783023,-9.64975E-05,1.22352E-07,0.003788369,0.006567938,0.013181935,0.000194376,0.010923965,0.024454544
122,11127,captan//[RoW] captan production,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,0.020615119,0.16495155,0.20269696,0.38826363,0.081227829,0.18408125,0.23928806,0.50459713,0.15287923,4.0334214,1.9733019,0.004739043,0.000277723,0.58700531,0.19023649,0.008361001,0.000909942,0.16247433,-0.000222848,7.57506E-07,0.008061283,0.011851648,0.016121961,0.000703259,0.024908166,0.065142697
123,11128,"carbon dioxide, liquid//[RoW] carbon dioxide production, liquid",C(=O)=O,0.003638916,0.031236946,0.015316525,0.050192387,0.016312912,0.035163687,0.024328443,0.075805043,0.03137949,0.83059329,0.19454677,0.000620761,5.75706E-05,0.068003949,0.019659943,0.000762141,0.000181024,0.038568534,-4.39515E-05,2.87353E-08,0.001329773,0.001614205,0.002392178,0.000217751,0.003972721,0.004151706
124,1674,carbon disulfide//[GLO] carbon disulfide production,C(=S)=S,0.004366925,0.029950674,0.13064123,0.16495883,0.015308898,0.032863082,0.12526049,0.17343248,0.026507731,0.70022676,1.1614699,0.006150924,5.43918E-05,0.12471817,0.064151866,0.002396908,7.88875E-05,0.039733228,-4.06217E-05,2.15003E-07,0.001491873,0.00264791,0.003634398,0.000117988,0.004613959,0.011667465
126,11129,carbon monoxide//[RoW] carbon monoxide production,[C-]#[O+],0.010916801,0.11290017,0.14648208,0.27029905,0.045555217,0.10691325,0.17166618,0.32413465,0.061481185,2.1842348,1.383995,0.002537743,0.000147849,0.16823621,0.24056915,0.00206453,0.000251351,0.048050673,-0.000145239,5.14763E-07,0.006180527,0.007060556,0.010730749,0.000108722,0.013583225,0.010477897
127,11130,carbon tetrachloride//[RoW] carbon tetrachloride production,C(Cl)(Cl)(Cl)Cl,0.005107926,0.055917093,0.062602757,0.12362778,0.029076262,0.07987897,0.062125514,0.17108075,0.000866317,1.6466216,0.57987649,0.000804035,2.71551E-06,0.31866338,0.000191886,0.000703368,0.000298926,0.002785312,-5.16193E-07,2.77696E-06,0.004475547,0.009167805,0.011171463,8.87156E-05,0.000267269,0.056179532
128,10595,"carboxymethyl cellulose, powder//[RoW] carboxymethyl cellulose production, powder",CC(=O)[O-].C(C(C(C(C(C=O)O)O)O)O)O.[Na+],0.0340654,0.20504908,0.11178252,0.35089699,0.14294273,0.20854811,0.17180704,0.52329788,1.7487547,4.2803055,1.4459135,0.004169673,0.000280806,0.45675359,0.1499164,0.005579526,0.000549838,0.10759536,-0.000247541,6.47332E-07,0.011139305,0.013259643,0.019470218,0.000559878,0.037076464,0.048158267
165,11205,chlorine dioxide//[RoW] chlorine dioxide production,O=Cl[O],0.070681889,0.51636994,0.17404865,0.76110048,0.17578741,0.46185601,0.33796877,0.97561219,0.27900112,8.9607614,2.7357916,0.02494336,0.000782714,0.79993022,0.4230207,0.009495501,0.002854939,0.3040242,-0.000562396,4.51962E-07,0.026109917,0.026690634,0.044896033,0.001448343,0.061773879,0.23072098
173,10622,"chlorine, liquid//[RoW] chlorine production, liquid",ClCl,0.0056636,0.058462932,0.017763117,0.081889649,0.020975184,0.053016906,0.038226907,0.112219,0.03986193,1.0595767,0.30349288,0.000850005,9.26906E-05,0.10834443,0.050508209,0.001055134,0.000170334,0.039259484,-7.34365E-05,5.86779E-07,0.002955516,0.003023439,0.004618813,5.63046E-05,0.007848435,0.024286747
175,11206,chloroacetic acid//[RoW] chloroacetic acid production,C(C(=O)O)Cl,0.013087156,0.1069049,0.10781504,0.22780709,0.045240852,0.10912413,0.13422964,0.28859462,0.10153953,2.1575371,1.1142519,0.003777432,0.000194172,0.55714697,0.13840168,0.008640675,0.000281073,0.11095021,-0.00015023,7.03353E-07,0.005212598,0.007813751,0.009839492,0.001040291,0.017706347,0.047615198
176,11207,chloroacetyl chloride//[RoW] chloroacetyl chloride production,C(C(=O)Cl)Cl,0.029757669,0.2442499,0.17263973,0.4466473,0.087198552,0.24753107,0.23218085,0.56691048,0.20281112,4.1647042,1.8877122,0.006752821,0.000416371,1.1189908,0.24301869,0.016648302,0.000588919,0.25770781,-0.000319405,1.46201E-06,0.013819148,0.015383923,0.035673785,0.001755357,0.040040968,0.10009743
177,1792,chlorodifluoromethane//[NL] chlorodifluoromethane production,C(F)(F)Cl,0.030357507,0.57256821,0.19338937,0.79631509,1.3121859,2.4164742,0.22738635,3.9560464,0.27607063,74.069925,1.9832724,0.003269618,0.000402217,12.002233,0.27815978,0.008631343,0.000525684,0.25631842,-0.000223893,0.002190779,0.007874516,0.011440958,0.025279267,0.00033339,0.02858028,0.085092874
179,11209,chloromethyl methyl ether//[RoW] chloromethyl methyl ether production,COCCl,0.009348534,0.072886813,0.11327222,0.19550757,0.03169204,0.07569991,0.12354362,0.23093557,0.058107822,1.5604005,1.1310338,0.005798178,0.000151682,0.38391576,0.049473867,0.004584042,0.000189822,0.1019691,-0.000104487,3.76278E-07,0.003268335,0.00568536,0.006469209,0.000388131,0.01236265,0.025804981
180,11210,chloronitrobenzene//[RoW] chloronitrobenzene production,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,0.021315734,0.16652899,0.17336951,0.36121423,0.084356598,0.18996147,0.21979837,0.49411644,0.10534826,4.3989178,1.8242888,0.05661288,0.000249093,0.38245461,0.082284377,0.008657,0.005372737,0.18225675,-0.000203635,5.56194E-07,0.008103788,0.022113291,0.017896317,0.000351519,0.024217543,0.053171475
181,11211,chloropropionic acid//[RoW] chloropropionic acid production,CC(C(=O)O)Cl,0.016851267,0.14594881,0.14700431,0.30980439,0.065140025,0.15483752,0.18368807,0.40366561,0.11977151,3.246596,1.496186,0.002876204,0.000246276,0.58063693,0.18387627,0.008293102,0.000401317,0.12578559,-0.000191661,9.16893E-07,0.007245383,0.010718162,0.013496262,0.000856217,0.022119547,0.054563522
182,11212,chlorosulfonic acid//[RoW] chlorosulfonic acid production,OS(=O)(=O)Cl,0.014536968,0.085261329,0.036946391,0.13674469,0.018621795,0.06447148,0.05225841,0.13535168,0.067676911,0.82872782,0.38125521,0.001517579,0.00019092,0.27305006,0.045575039,0.00370791,0.00015861,0.15140612,-9.69197E-05,1.88639E-07,0.00380462,0.004046464,0.011265833,0.000276474,0.012381959,0.046705415
183,11213,chlorothalonil//[RoW] chlorothalonil production,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,0.023080662,0.17251303,0.164646,0.36023969,0.080172853,0.19143332,0.2073434,0.47894958,0.138709,4.0848506,1.7340907,0.004130687,0.000268012,0.82152469,0.14237516,0.012319635,0.002170909,0.13830948,-0.000214132,9.00823E-07,0.008680205,0.012824582,0.01639474,0.001239706,0.024148954,0.087420014
184,11214,chlorotoluron//[RoW] chlorotoluron production,CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl,0.037414531,0.29641223,0.25313119,0.58695796,0.14158274,0.33420207,0.32346351,0.79924832,0.27417912,7.131564,2.6650095,0.005999832,0.000505704,1.5700858,0.22509503,0.023235598,0.002556067,0.35221357,-0.000378495,1.23672E-06,0.014271027,0.020972458,0.030136565,0.002347777,0.041957285,0.13112324
